炉号,c收得率,转炉终点温度,钢水净重,转炉终点C,石油焦增碳剂,碳化硅(55%)
7A06259             ,0.839117099,1697,68600,0.00082,56,132
7A06257             ,0.951480391,1642,68200,0.0006,68,132
7A06256             ,0.953893289,0,69000,0.00055,73,132
7A06255             ,0.90454138,0,70000,0.00067,72,132
7A06253             ,0.902989549,1683,68800,0.00068,62,132
7A06251             ,0.876337702,1658,65700,0.00057,68,132
7A06250             ,0.921042696,1658,70250,0.00049,85,132
7A06249             ,0.940623284,1666,71000,0.00047,85,132
7A06247             ,0.924206105,1668,69850,0.00072,54,132
7A06246             ,0.868815564,1689,68450,0.00088,54,132
7A06245             ,0.875643311,1634,67650,0.00053,68,132
7A06244             ,0.912139621,1605,68850,0.00037,85,132
7A06243             ,0.905718965,1633,69850,0.0005,85,132
7A06242             ,0.902931152,1800,71600,0.00055,85,132
7A06241             ,0.932973056,1710,72800,0.00064,68,132
7A06240             ,0.853645793,1656,71150,0.00065,68,132
7A06239             ,0.940688776,1663,68750,0.00053,68,132
7A06238             ,0.907248686,1673,69750,0.00089,54,132
7A06237             ,0.937636069,1664,69800,0.00066,68,132
7A06235             ,0.952216929,1658,73200,0.00088,60,88
7A06234             ,0.935168539,0,71750,0.00056,85,88
7A06233             ,0.869103341,1578,72100,0.00049,93,88
7A06232             ,0.913966636,0,74400,0.00044,95,88
7A06231             ,0.862370308,1672,72850,0.0005,95,88
7A06230             ,0.956304451,1630,73750,0.00038,100,88
7A06229             ,0.915421326,1661,72200,0.00042,92,88
7A06228             ,0.935400387,0,71300,0.00047,90,88
7A06227             ,0.91022493,1672,73950,0.00043,110,88
7A06226             ,0.934638697,1627,76350,0.00034,105,132
7A06225             ,0.938125484,1734,73850,0.00033,105,88
7A06221             ,0.890594351,1672,69850,0.00061,85,88
7A06220             ,0.819348998,1687,70400,0.00089,68,88
7A06219             ,0.948222511,1664,72050,0.0008,68,88
7A06218             ,0.940964437,1662,73150,0.00083,68,88
7A06215             ,0.958601983,1643,70250,0.00097,51,88
7A06214             ,0.954334425,1673,70200,0.00071,68,88
7A06212             ,0.981298991,1675,70150,0.00094,51,88
7A06211             ,0.97060927,1671,71250,0.0006,68,88
7A06209             ,0.897304288,1694,73400,0.00082,68,88
7A06206             ,0.988471746,1645,70050,0.00022,94,132
7A06205             ,0.873886743,1693,71800,0.00063,76,132
7A06204             ,0.948791209,1689,71950,0.00054,80,132
7A06203             ,0.850702777,1684,70900,0.00045,85,132
7A06201             ,0.955195274,1684,72400,0.00039,90,132
7A06200             ,0.965451403,1672,75200,0.00074,60,132
7A06198             ,0.981268908,1704,71850,0.00072,55,132
7A06197             ,0.978986559,1664,68550,0.00053,70,132
7A06196             ,0.895756257,0,68600,0.00038,85,132
7A06195             ,0.789781477,1691,65700,0.00055,90,132
7A06194             ,0.919119528,1624,75800,0.00057,80,132
7A06191             ,0.901509523,0,72150,0.00045,85,132
7A06189             ,0.916825437,1642,68550,0.00028,95,132
7A06188             ,0.916981132,1630,77700,0.00068,75,132
7A06187             ,0.894900401,1621,74350,0.00069,80,132
7A06186             ,0.82116598,0,71800,0.00094,51,132
7A06185             ,0.960459594,1662,77400,0.00068,68,132
7A06184             ,0.858336742,0,75400,0.00053,85,132
7A06183             ,0.688888889,0,72400,0.00127,34,132
7A06182             ,0.8759731,1676,79600,0.00068,85,132
7A06181             ,0.799701373,1673,72500,0.00056,85,132
7A06180             ,0.919202392,1648,76100,0.0004,85,132
7A06179             ,0.91687466,1682,73600,0.00099,51,132
7A06178             ,0.814591902,1651,68750,0.00073,68,132
7A06177             ,0.848434144,1689,77100,0.00074,68,132
7A06176             ,0.954023535,1683,73100,0.00069,51,132
7A06175             ,0.881511813,1672,72600,0.00089,51,132
7A06173             ,0.961854361,1652,73000,0.00078,51,132
7A06171             ,0.903986156,1683,73200,0.00068,68,132
7A06170             ,0.886633558,1693,71600,0.00097,51,132
7A06169             ,0.932934229,1696,74400,0.00044,85,132
7A06167             ,0.90760552,1689,70500,0.00105,51,88
7A06165             ,0.906128107,1656,75000,0.00084,68,88
7A06164             ,0.899075416,1668,73000,0.00081,68,88
7A06163             ,0.86170297,1667,70950,0.00056,90,132
7A06161             ,0.909492629,1676,69450,0.00039,85,132
7A06160             ,0.969667467,1679,72900,0.00036,85,132
7A06159             ,0.959523052,1672,71850,0.00062,65,132
7A06158             ,0.8505539,1663,68300,0.00067,68,132
7A06157             ,0.972014205,1667,74500,0.00061,68,132
7A06156             ,0.970232327,1688,73450,0.00031,90,132
7A06155             ,0.931618805,1673,71000,0.00055,72,132
7A06152             ,0.904460062,1672,68350,0.00047,85,132
7A06151             ,0.988179637,0,70650,0.00036,85,132
7A06149             ,0.963001447,1669,69400,0.00019,92,132
7A06148             ,0.837450275,1689,68850,0.00071,68,132
7A06146             ,0.862447012,1629,65650,0.00046,85,132
7A06145             ,0.971490751,1610,74400,0.00038,85,132
7A06143             ,0.902956742,1652,71350,0.00065,68,132
7A06142             ,0.991241668,1659,73500,0.00066,68,132
7A06141             ,0.918746736,1689,69450,0.00078,54,132
7A06140             ,0.932800781,1656,70650,0.00061,68,132
7A06139             ,0.773546093,1653,66700,0.00083,54,132
7A06137             ,0.868138951,1688,66450,0.00079,54,132
7A06136             ,0.88707483,1669,70400,0.00067,68,132
7A06135             ,0.893034731,1688,70750,0.00065,68,132
7A06134             ,0.920440636,1675,75200,0.0007,68,132
7A06132             ,0.902559836,1653,69650,0.00047,80,132
7A06131             ,0.999129786,1651,70500,0.00059,60,132
7A06130             ,0.837476215,1666,66350,0.00041,95,132
7A06128             ,0.911280272,1675,71100,0.00049,80,132
7A06127             ,0.831678666,1647,70800,0.00044,95,132
7A06125             ,0.986682028,1667,76050,0.00047,80,132
7A06124             ,0.923756491,1677,72300,0.00053,85,132
7A06123             ,0.911064667,1656,71600,0.00033,102,132
7A06122             ,0.911319849,1658,70700,0.00052,85,132
7A06121             ,0.898222918,1662,69800,0.00051,85,132
7A06120             ,0.939582278,1625,74600,0.00041,95,132
7A06117             ,0.800581487,1658,69550,0.00089,68,88
7A06116             ,0.876024762,1692,74800,0.00066,85,88
7A06115             ,0.692193589,1653,69250,0.0013,34,88
7A06114             ,0.905547039,1693,74000,0.0008,68,88
7A06112             ,0.971548142,1653,70150,0.00023,102,88
7A06110             ,0.914774474,1659,71300,0.00038,102,88
7A06109             ,0.802228322,1645,69750,0.00109,51,88
7A06108             ,0.948132328,1671,73300,0.00068,85,88
7A06107             ,0.991439318,1704,72350,0.00097,51,88
7A06106             ,0.951318693,1653,71750,0.00102,51,88
7A06105             ,0.898744987,1677,64700,0.0008,68,88
7A06103             ,0.9959961,1708,73350,0.0011,34,88
7A06101             ,0.720454187,1684,63450,0.00076,65,132
7A06100             ,0.88601577,1673,70750,0.00078,68,132
7A06099             ,0.929928787,1648,68650,0.00065,68,132
7A06098             ,0.863603026,1662,71250,0.00083,68,132
7A06097             ,0.864359006,1684,70400,0.00075,62,132
7A06096             ,0.74534459,1660,65800,0.0009,58,132
7A06095             ,0.961439876,1662,70300,0.00081,54,132
7A06094             ,0.95635436,1683,71100,0.00066,68,132
7A06093             ,0.970204714,1676,69200,0.00077,54,132
7A06092             ,0.899532791,1688,72200,0.00086,54,132
7A06091             ,0.731813694,1683,71250,0.00107,54,132
7A06090             ,0.918785156,1804,72150,0.00067,68,132
7A06089             ,0.664958766,1648,64000,0.00093,68,132
7A06088             ,0.827810651,1693,69950,0.0009,54,132
7A06087             ,0.9747288,1639,74050,0.00041,102,88
7A06086             ,0.86662744,1662,71950,0.00056,95,88
7A06085             ,0.984807153,1683,76450,0.0006,85,88
7A06084             ,0.917978512,1656,71200,0.00068,77,88
7A06083             ,0.970506037,1698,72750,0.00061,85,88
7A06081             ,0.843926069,1651,69900,0.00058,85,88
7A06080             ,0.90940669,1661,74650,0.00055,102,88
7A06078             ,0.916918239,1672,71700,0.00057,95,88
7A06076             ,0.953709178,1669,75700,0.00051,95,88
7A06075             ,0.95831283,1666,71000,0.00048,95,88
7A06073             ,0.957658321,1667,72250,0.00051,95,88
7A06072             ,0.972864367,1639,74300,0.00066,85,88
7A06071             ,0.968162649,1667,72450,0.00076,68,88
7A06070             ,0.912073068,1666,68350,0.0009,51,88
7A06068             ,0.983712908,1704,69900,0.00076,68,88
7A06067             ,0.934711359,1686,71500,0.00082,68,88
7A06066             ,0.931742776,1710,73550,0.00052,85,88
7A06065             ,0.931795882,1677,72600,0.00106,51,88
7A06064             ,0.881300444,0,72750,0.00067,85,88
7A06062             ,0.926002698,1724,67500,0.00038,85,88
